disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,2012312,Yorkshire Dales National Park Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: National Park,Metropolitan area,Other: Parish Council,2184.83,91-100%,23205,2023,,,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,2023043,Nasushiobara City,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,592.8,<5%,113381,2025,98343,2040,JPY Japanese yen,
2025 Disclosure Cycle,779465,CDP,2024876,Town of Lügde,City,Europe,Germany,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Town,County / Province,County / Province,90,<5%,,,,,,
2025 Disclosure Cycle,779465,CDP,2027109,Ilustre Municipalidad De El Quisco,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,City / Municipality,51,41-50%,15955,2017,18840,,CLP Chilean Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,2027804,Kalasin Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,16.96,31-40%,31534,2024,30667,2027,THB Baht,
2025 Disclosure Cycle,779465,CDP,2027823,Saen Suk Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,20.268,11-20%,46140,2023,46463,2050,THB Baht,
2025 Disclosure Cycle,779465,CDP,2027827,Su-ngai Kolok Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,22.5,41-50%,39551,2025,34754,2034,THB Baht,
2025 Disclosure Cycle,779465,CDP,2027830,Pak Poon Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,93.782,51-60%,34619,2024,35000,2028,THB Baht,
2025 Disclosure Cycle,779465,CDP,2027854,"City of Lafayette, IN",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,68,21-30%,70783,2020,73000,,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,2027856,Cañada Rosquín,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,309,I do not have this data,5649,2022,6018,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,2027864,El Trebol,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,345,I do not have this data,11493,2010,13539,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,2027869,San Salvador de Jujuy,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,770,I do not have this data,315292,2022,352577,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,2027876,Tual City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,254.39,71-80%,90007,2024,115797,2045,IDR Rupiah,CRF Complete level
2025 Disclosure Cycle,779465,CDP,2027923,Barva,City,Latin America,Costa Rica,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,City / Municipality,53.8,91-100%,48449,2022,47699,,CRC Costa Rican Colon,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,2027926,Salinas,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Gad Parroquiales,73.57,11-20%,86801,2022,102106,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,2027928,La Joya de los Sachas,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Gobierno Autónomo Descentralizado Parroquial,1205.6,11-20%,52000,2024,57000,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,2027930,Ahome,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,3003.79,21-30%,459310,2020,511504,2030,MXN Mexican Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,2033711,Prefeitura de Arapiraca,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,345.65,5-10%,234000,2022,240000,2026,BRL Brazilian Real,
2025 Disclosure Cycle,779465,CDP,2033737,Prefeitura de Crato,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,1138.15,61-70%,131050,2022,,,BRL Brazilian Real,
2025 Disclosure Cycle,779465,CDP,2033759,Prefeitura de Ji-Paraná,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,6.8967,,,,,,,
2025 Disclosure Cycle,779465,CDP,2033760,Prefeitura de Maranguape,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,583505,71-80%,105093,2022,,,BRL Brazilian Real,
2025 Disclosure Cycle,779465,CDP,2033762,Prefeitura de Palmeira Dos Índios,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,461,I do not have this data,71574,2022,,,BRL Brazilian Real,
2025 Disclosure Cycle,779465,CDP,2033763,Prefeitura de Parintins,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,City / Municipality,5956,31-40%,96372,2022,101855,2026,BRL Brazilian Real,
2025 Disclosure Cycle,779465,CDP,2033764,Prefeitura de São João De Meriti,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,,State / regional,Sub-municipal district,35,<5%,440962,2022,466503,2026,BRL Brazilian Real,
2025 Disclosure Cycle,779465,CDP,2033765,Prefeitura de Sinop,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Federal district,City / Municipality,3956,41-50%,,,,,,
2025 Disclosure Cycle,779465,CDP,2033767,Prefeitura de Vitória De Santo Antão,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,County / Province,373300,11-20%,144000,2024,145000,2026,BRL Brazilian Real,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,2044300,Laoag City,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,County / Province,119.769,31-40%,112117,2024,115000,2029,PHP Philippine Peso,
2025 Disclosure Cycle,779465,CDP,2044301,Tayabas City,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,No lower level of government,232.2469,<5%,112658,2020,,,,
2025 Disclosure Cycle,779465,CDP,2044302,Oroquieta City,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,263.9346,41-50%,78368,2024,79865,2030,PHP Philippine Peso,
2025 Disclosure Cycle,779465,CDP,2044700,Municipality of Escobar,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,277,31-40%,256268,2022,289333,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,2044708,Municipality of Otavalo,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Parroquia,531.2,31-40%,114303,2022,126998,2035,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,2044709,Municipality of Pasaje,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: GAD Parroquiales,456.13,31-40%,83597,2022,91952,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,2044711,Municipality of Riobamba,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Independent intercommunality,998.78,5-10%,260882,2022,275000,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,2044723,Municipality of Gualán,City,Latin America,Guatemala,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,696,I do not have this data,45000,2018,69999,2030,GTQ Quetzal,
2025 Disclosure Cycle,779465,CDP,2044725,Municipality of Choloma,City,Latin America,Honduras,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Independent province,466.7,5-10%,297000,2025,310000,2030,HNL Lempira,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,2044730,Katingan Regency,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,20393.86,81-90%,170000,2024,200000,2030,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,2044732,Merauke Regency,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,,45013.35,,,2024,,,,
2025 Disclosure Cycle,779465,CDP,2044738,City of Balanga,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Barangay,114.6009,81-90%,104173,2020,113447,2026,PHP Philippine Peso,
2025 Disclosure Cycle,779465,CDP,2044739,City of Carmona,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Barangay,31.36,51-60%,108207,2022,125350,2026,PHP Philippine Peso,
2025 Disclosure Cycle,779465,CDP,2044740,City of Samal,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Town,301.3,11-20%,116771,2020,134944,2026,PHP Philippine Peso,
2025 Disclosure Cycle,779465,CDP,2044749,Kalix Municipality,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,1820,81-90%,15391,2024,13900,2040,SEK Swedish Krona,
2025 Disclosure Cycle,779465,CDP,2044752,Ystad Municipality,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,1184,91-100%,32106,2024,32450,2030,SEK Swedish Krona,
2025 Disclosure Cycle,779465,CDP,2044754,Karatay Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Sub-municipal district,City/Municipality,Town,2746,11-20%,385432,2024,621400,2050,TRY New Turkish Lira,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,2044758,Cà Mau City,City,South East Asia & Oceania,Viet Nam,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,National,"Other: Districts, towns and communes/wards",5211,81-90%,1212000,2024,1240500,2030,VND Vietnamese đồng,
2025 Disclosure Cycle,779465,CDP,2044810,Municipalidad de Cerrillos,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,21,I do not have this data,80832,2017,,,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,2044811,Municipalidad de Cochrane,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,8500,41-50%,3458,2024,3751,2026,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,2044814,Municipalidad de Curanilahue,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,994,<5%,32288,2017,33902,2035,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,2044815,Municipalidad de Rapa Nui (Isla de Pascua),City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,City / Municipality,168,21-30%,10000,2025,,,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,2044818,Municipalidad de Melipilla,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,County / Province,1.345,91-100%,136325,2024,0,2034,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,2044840,Municipalidad de Quillota,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,302,<5%,98000,2025,100000,2026,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,2044841,Municipalidad de Quinchao,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Town,158,91-100%,8088,2017,8186,2026,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,2044842,Municipalidad de Saavedra,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,401.9,21-30%,12877,2024,14281,2035,CLP Chilean Peso,
